名前	種別	スコア	スコアの理由	関連する業務要求	関連する目的
地域交流コーディネーターの配置	活動	89	地域交流拠点としての機能を担う中核的活動であり、従来の銭湯にない新しい価値創造の仕組みを構築する。	地域の絆を再構築する交流促進	地域交流拠点の確立
コミュニティ湯処ブランド構築ワークショップの開催	活動	89	単なる銭湯から「コミュニティ湯処」への本質的な転換を実現する活動。	コミュニティ湯処としてのブランド確立	差別化ブランドの確立
コミュニティ拠点運営体制の構築	活動	89	地域コミュニティ強化拠点として機能するための運営基盤を構築する活動。	地域コミュニティ強化拠点の確立	地域活性化への貢献
コミュニティ情報発信プラットフォーム	IT要求	34	地域交流拠点としてのブランド確立は、複数のステークホルダーに波及し、事業全体の成否を左右する中核的IT要求である。	コミュニティ湯処としてのブランド確立	差別化ブランドの確立
地域交流促進アプリ	IT要求	34	地域の絆再構築という社会的価値創出の中核機能であり、複数のステークホルダー間の日常的な交流を促進する基盤となる。	地域の絆を再構築する交流促進	地域交流拠点の確立
イベント予約・管理システム	IT要求	34	第三の居場所としての機能を実現する中核システムであり、地域交流拠点の運営基盤として不可欠である。	第三の居場所としての空間整備	地域交流拠点の確立
コミュニティマッチングシステム	IT要求	34	町内住民の日常的な交流という地域交流拠点の本質的価値を直接実現する。	町内住民の日常的な交流機会の提供	地域交流拠点の確立
交流イベント企画・運営	活動	34	第三の居場所としての価値を具現化し、定期的な交流機会を創出する。	第三の居場所としての空間整備	地域交流拠点の確立
くつろぎスペース運営	活動	34	入浴後の安らぎ空間を提供することで、滞在時間延長と交流促進を実現。	第三の居場所としての安らぎ空間の実現	地域交流拠点の確立
成功モデル構築プロジェクトの推進	活動	34	地域活性化の再現可能なモデルを確立することで、他地域への展開可能性を含む社会的インパクトを創出する。	地域活性化の成功モデルの確立	地域活性化への貢献
銭湯文化体験プログラムの提供	活動	34	現代に合った形で銭湯文化を再体験する機会を提供し、文化継承と革新を同時に実現する。	現代に合った銭湯文化の再体験機会の提供	銭湯文化の継承と革新
社会的インパクト測定ダッシュボード	IT要求	21	社会的価値の可視化は出資者・協力者のモチベーション維持に重要。	社会的価値の創出による誇りの確立	地域への恩返しと誇りの創出
地域活性化指標ダッシュボード	IT要求	21	成果の可視化は地域活性化への貢献を示す重要機能。	地域活性化の成果の可視化	地域活性化への貢献
町内住民割引管理システム	IT要求	21	割引制度は町内住民の継続利用を促す重要機能。	割引制度を活用した町内住民の利用促進	持続可能な事業モデルの構築
経営状況モニタリングダッシュボード	IT要求	21	事業継続の基盤となる経営管理機能。	廃業危機からの脱却の実現	持続可能な事業モデルの構築
デジタルサイネージシステム	IT要求	21	安らぎ空間の演出に貢献する副次的システム。	第三の居場所としての安らぎ空間の実現	地域交流拠点の確立
事業承継メンター制度の構築	活動	21	組織的な承継支援体制を構築し、個人依存から仕組み化へ転換する。	次世代への事業承継体制の構築	円滑な事業承継の実現
社会的価値レポート作成・発信	活動	21	経済的価値だけでなく社会的価値を可視化・発信する。	社会的価値の創出による誇りの確立	地域への恩返しと誇りの創出
地域資産ストーリー発信活動	活動	21	事業を地域の歴史・文化資産として位置づけ、次世代に継承する価値を明確化する。	次世代に誇れる地域資産の創出	地域への恩返しと誇りの創出
後継者育成OJTプログラムの実施	活動	21	実践的な経営スキルを習得させることで、承継後の事業継続性を高める。	田中さんから息子への円滑な事業承継の実現	円滑な事業承継の実現
地域活性化成果報告会の実施	活動	21	地域活性化の成果を定量的・定性的に可視化し、事業の社会的意義を証明する。	地域活性化の成果の可視化	地域活性化への貢献
顧客ニーズヒアリング活動	活動	21	時代に合った銭湯経営への転換の基盤となる顧客理解を深める。	時代に合った銭湯経営への転換	銭湯文化の継承と革新
経営改善アクションの実行	活動	21	廃業危機からの脱却を実現するための具体的施策を実施。	廃業危機からの脱却の実現	持続可能な事業モデルの構築
近隣地域向け体験イベントの開催	活動	21	商圏拡大と差別化ブランドの認知拡大を同時に実現。	近隣地域への特別な価値体験の提供	差別化ブランドの確立
銭湯文化デジタルアーカイブ	IT要求	13	銭湯文化の継承に貢献するが、頻繁に利用される機能ではない。	現代に合った銭湯文化の再体験機会の提供	銭湯文化の継承と革新
地域資産ストーリーテリングサイト	IT要求	13	地域資産の創出・発信は重要だが、日常的な事業運営への直接貢献は限定的。	次世代に誇れる地域資産の創出	地域への恩返しと誇りの創出
チーム協働プラットフォーム	IT要求	13	若手協力者の一体感醸成は重要だが、内部運営効率化が主目的。	若手協力者のチーム一体感の醸成	地域活性化への貢献
事業承継ナレッジベース	IT要求	13	事業承継は長期的には重要だが、現時点での直接貢献は限定的。	次世代への事業承継体制の構築	円滑な事業承継の実現
経営承継トレーニングシステム	IT要求	13	田中さんから息子への承継支援は重要だが、現時点での直接貢献は限定的。	田中さんから息子への円滑な事業承継の実現	円滑な事業承継の実現
地域貢献活動の企画・実施	活動	13	地域への恩返しを具体的な形で実現し、事業の社会的存在意義を高める。	地域への恩返しの実現	地域への恩返しと誇りの創出
若手協力者定例ミーティングの運営	活動	13	出資者である若手20名のチーム一体感を維持し、プロジェクトの推進力を確保する。	若手協力者のチーム一体感の醸成	地域活性化への貢献
承継価値説明会の開催	活動	13	事業承継の意義を明確化し、後継者の納得感を醸成する。	息子への承継価値の明確化	円滑な事業承継の実現
後継者向け経営スキル研修の実施	活動	13	経営に必要な知識・スキルを体系的に習得させる。	息子への経営スキル習得機会の提供	円滑な事業承継の実現
次世代経営者としての役割付与	活動	13	後継者に実践的な役割を付与することで、責任感と誇りを醸成する。	次世代経営者としての誇りの醸成	地域への恩返しと誇りの創出
成果モニタリング会議の運営	活動	13	継続的な成果測定と改善のPDCAサイクルを確立する。	継続的な成果モニタリング体制の構築	持続可能な事業モデルの構築
銭湯文化親しみ促進活動	活動	13	銭湯文化への心理的障壁を低減し、新規顧客の獲得を促進する。	銭湯文化への親しみの促進	銭湯文化の継承と革新
投資家向けレポーティングシステム	IT要求	8	出資者への説明責任は重要だが、定期報告用途が主。	出資者への投資回収見通しの提示	持続可能な事業モデルの構築
価格・サービス比較表示システム	IT要求	8	価格の妥当性を示す補助機能。	リーズナブルな価格での質の高い入浴環境の提供	持続可能な事業モデルの構築
顧客管理システム	IT要求	8	基本的な業務効率化ツール。	時代に合った銭湯経営への転換	銭湯文化の継承と革新
地域貢献活動記録システム	IT要求	8	活動記録は重要だが補助機能。	地域への恩返しの実現	地域への恩返しと誇りの創出
体験予約・クーポン配信システム	IT要求	8	予約・クーポン機能は利便性向上に寄与する。	近隣地域への特別な価値体験の提供	差別化ブランドの確立
オンライン決済・ポイントシステム	IT要求	8	決済手段の多様化は利便性向上に寄与する。	近隣地域へのリーズナブルな癒しの提供	持続可能な事業モデルの構築
常連客同士の交流促進サポート	活動	8	既存顧客の満足度向上とコミュニティ形成を支援する。	町内住民の日常的な交流機会の提供	地域交流拠点の確立
出資者向け経営報告会の開催	活動	8	出資者への説明責任を果たし、信頼関係を維持する。	出資者への投資回収見通しの提示	持続可能な事業モデルの構築
品質管理・価格設定の見直し活動	活動	8	リーズナブルな価格と質の高いサービスのバランスを最適化する。	リーズナブルな価格での質の高い入浴環境の提供	持続可能な事業モデルの構築
近隣地域向けキャンペーン実施	活動	8	商圏拡大とリーズナブルな価格訴求により、新規顧客を獲得する。	近隣地域へのリーズナブルな癒しの提供	持続可能な事業モデルの構築
町内住民向け割引証発行窓口の運営	活動	3	既存の割引制度を運用する日常的なオペレーション。革新性は限定的。	割引制度を活用した町内住民の利用促進	持続可能な事業モデルの構築
